name,mass,GeoLocation,KE,crater_diameter,crater_depth
Allan Hills A78232,2.52,"(-76.716670, 159.666670)",504000.0,60.91031166707418,8.72651895638776
Allan Hills A78233,1.3,"(-76.716670, 159.666670)",260000.0,50.13599779404351,7.182900943579288
Allan Hills A78234,0.52,"(-76.716670, 159.666670)",104000.00000000001,38.2926573871763,5.486125278854728
Allan Hills A78235,19.2,"(-76.716670, 159.666670)",3839999.9999999995,110.677110945285,15.856525443200939
Allan Hills A78236,14.4,"(-76.716670, 159.666670)",2880000.0,101.69821530720203,14.570134012117295
Allan Hills A78237,13.27,"(-76.716670, 159.666670)",2653999.9999999995,99.28308446353397,14.224122236564046
Allan Hills A78238,9.8,"(-76.716670, 159.666670)",1960000.0000000002,90.8151932698818,13.010941561575322
Allan Hills A78239,16.0,"(-76.716670, 159.666670)",3200000.0,104.89882161787112,15.028679550262785
Allan Hills A78240,9.31,"(-76.716670, 159.666670)",1862000.0,89.45549513026299,12.816139872573904
Allan Hills A78241,6.5,"(-76.716670, 159.666670)",1300000.0,80.4853321873595,11.530999560191486
Allan Hills A78242,7.34,"(-76.716670, 159.666670)",1468000.0,83.41422783524213,11.95061756399076
Allan Hills A78243,1.9,"(-76.716670, 159.666670)",380000.0,56.055774408581115,8.031017484612656
Allan Hills A78245,4.0,"(-76.716670, 159.666670)",800000.0,69.77579061984136,9.996661367768656
Allan Hills A78246,6.17,"(-76.716670, 159.666670)",1234000.0,79.26140919288777,11.355650150213174
Allan Hills A78247,2.7,"(-76.716670, 159.666670)",540000.0,62.15885496901628,8.905395676832427
Allan Hills A78248,4.73,"(-76.716670, 159.666670)",946000.0000000001,73.30195947495909,10.501849709699973
Allan Hills A78249,4.2,"(-76.716670, 159.666670)",840000.0000000001,70.7842343783025,10.14113942630762
Allan Hills A78250,2.87,"(-76.716670, 159.666670)",574000.0,63.285175455021715,9.066761737899675
Allan Hills A78251,1312.0,"(-76.716670, 159.666670)",262400000.0,383.3745361701087,54.92543160131757
Allan Hills A78252,2789.0,"(-76.716670, 159.666670)",557800000.0,478.5698458332748,68.56390514706828
Allan Hills A78253,6.8,"(-76.716670, 159.666670)",1360000.0,81.56048391971349,11.685034759102672
Allan Hills A78254,6.04,"(-76.716670, 159.666670)",1208000.0,78.76656136608611,11.28475412583039
Allan Hills A78255,3.2,"(-76.716670, 159.666670)",640000.0,65.3436712789927,9.36167900786397
Allan Hills A78256,3.35,"(-76.716670, 159.666670)",670000.0,66.22997641926301,9.488658469896402
Allan Hills A78257,2.1,"(-76.716670, 159.666670)",420000.00000000006,57.73027379990125,8.270920224902095
Allan Hills A78258,8.42,"(-76.716670, 159.666670)",1684000.0,86.85067713261542,12.44295193423835
Allan Hills A78259,6.2,"(-76.716670, 159.666670)",1240000.0,79.37455774932174,11.371860755537375
Allan Hills A78260,2.72,"(-76.716670, 159.666670)",544000.0,62.293916636499915,8.924745737098402
Allan Hills A78261,5.1,"(-76.716670, 159.666670)",1019999.9999999999,74.94373121401009,10.73706361372987
Allan Hills A78262,26.2,"(-76.716670, 159.666670)",5239999.999999999,121.27222129636588,17.374469265736117
Allan Hills A79001,32.3,"(-76.703060, 159.389440)",6459999.999999999,128.9719851185469,18.477601610900145
Allan Hills A79002,222.8,"(-76.703060, 159.391660)",44560000.0,227.5939844542905,32.60701128170059
Allan Hills A79003,5.1,"(-76.689170, 159.361110)",1019999.9999999999,74.94373121401009,10.73706361372987
Allan Hills A79004,34.9,"(-76.703060, 159.393060)",6980000.0,131.94224846391444,18.903146295854118
Allan Hills A79005,60.0,"(-76.701390, 159.353610)",12000000.0,154.73665538849275,22.16886303055399
Allan Hills A79006,41.0,"(-76.701670, 159.353330)",8200000.0,138.34346689756248,19.820238204865056
Allan Hills A79007,142.3,"(-76.697780, 159.346110)",28460000.000000004,199.47867911040765,28.578978288058074
Allan Hills A79008,12.0,"(-76.704720, 159.323340)",2400000.0,96.38870092696897,13.809448725501639
Allan Hills A79009,75.7,"(-76.701940, 159.394440)",15140000.0,165.68417164994267,23.737295461224804
Allan Hills A79010,25.1,"(-76.693060, 159.326660)",5020000.0,119.75205205371573,17.15667714893637
Allan Hills A79011,14.0,"(-76.702500, 159.366670)",2800000.0,100.85912078041383,14.4499183360879
Allan Hills A79012,191.9,"(-76.716670, 159.666670)",38380000.0,217.8167495011439,31.206243105926966
Allan Hills A79013,28.3,"(-76.703610, 159.334440)",5660000.0,124.05358327973575,17.77295036701693
Allan Hills A79014,10.8,"(-76.716670, 159.666670)",2160000.0,93.44775002107724,13.388103584955543
Allan Hills A79015,64.0,"(-76.705280, 159.326940)",12800000.0,157.7017283368328,22.593664095966183
Allan Hills A79016,1146.0,"(-76.716670, 159.666670)",229199999.99999997,368.42162919642766,52.78315351099766
Allan Hills A79017,310.0,"(-76.701390, 159.353610)",62000000.0,250.8120493918029,35.93342479465868
Allan Hills A79018,120.7,"(-76.702780, 159.393330)",24140000.0,190.0505062526354,27.228219657612172
Allan Hills A79019,12.1,"(-76.689720, 159.363330)",2420000.0,96.62424202293306,13.843194306219955
Allan Hills A79020,4.2,"(-76.681940, 159.320000)",840000.0000000001,70.7842343783025,10.14113942630762
Allan Hills A79021,29.4,"(-76.695560, 159.355550)",5880000.0,125.4526595249552,17.97339369165582
Allan Hills A79022,31.4,"(-76.701940, 159.393890)",6279999.999999999,127.90453176456758,18.32466934584336
Allan Hills A79023,68.1,"(-76.703060, 159.392780)",13619999.999999998,160.60811622555224,23.01005745057836
Allan Hills A79024,21.6,"(-76.716670, 159.666670)",4320000.0,114.57814079565769,16.41541949589898
Allan Hills A79025,1208.0,"(-76.716670, 159.666670)",241600000.0,374.17503507633774,53.607434393834914
Allan Hills A79026,572.0,"(-76.716670, 159.666670)",114399999.99999999,300.32334656538194,43.026825920270404
Allan Hills A79027,133.2,"(-76.699720, 159.098890)",26639999.999999996,195.63908149797246,28.028885529824347
Allan Hills A79028,16.3,"(-76.702220, 159.366110)",3260000.0000000005,105.47348527811002,15.111010656234333
Allan Hills A79029,505.5,"(-76.716670, 159.666670)",101099999.99999999,289.60317297423154,41.4909644955207
Allan Hills A79031,2.7,"(-76.703060, 159.393060)",540000.0,62.15885496901628,8.905395676832427
Allan Hills A79032,2.6,"(-76.703060, 159.392780)",520000.0,61.47274185714504,8.807097393453141
Allan Hills A79033,280.8,"(-76.699170, 159.357780)",56160000.0,243.61975987631436,34.902997448632355
Allan Hills A79034,12.6,"(-76.708890, 159.311670)",2520000.0,97.78177125942233,14.009031593016452
Allan Hills A79035,37.6,"(-76.698330, 159.340560)",7520000.0,134.86574875362427,19.32199131566952
Allan Hills A79036,20.2,"(-76.703890, 159.180000)",4040000.0,112.34215757724886,16.09507390239322
Allan Hills A79037,14.8,"(-76.701940, 159.368330)",2960000.0,102.52101404178033,14.68801501712405
Allan Hills A79038,49.7,"(-76.703060, 159.392780)",9940000.0,146.398739214674,20.974303660290037
Allan Hills A79039,108.3,"(-76.716670, 159.666670)",21660000.0,184.08701336242743,26.373839958537104
Allan Hills A79040,13.2,"(-76.700560, 159.401110)",2640000.0,99.1287696339637,14.202013807816265
Allan Hills A79041,20.1,"(-76.690280, 159.364170)",4020000.0,112.17830747160582,16.071599370515674
Allan Hills A79042,11.5,"(-76.689170, 159.365000)",2300000.0,95.18974370906628,13.637676120772356
Allan Hills A79043,62.2,"(-76.703060, 159.370830)",12440000.000000002,156.3841287166477,22.40489379176349
Allan Hills A79045,115.4,"(-76.702780, 159.401390)",23080000.0,187.55716131116202,26.87100227846777
Allan Hills A79046,89.7,"(-76.701670, 159.368890)",17940000.0,174.16271256289482,24.95200190376927
Allan Hills A79047,19.3,"(-76.701940, 159.364720)",3860000.0000000005,110.84633218805158,15.880769488952955
Allan Hills A79048,36.7,"(-76.716670, 159.666670)",7340000.000000001,133.90821229988916,19.184806661934303
Allan Hills A79049,54.0,"(-76.716670, 159.666670)",10800000.0,150.01542870462822,21.49246074288652
Allan Hills A79050,27.0,"(-76.693060, 159.326660)",5400000.0,122.34972730004459,17.52884175718089
Allan Hills A79051,23.9,"(-76.704720, 159.323890)",4779999.999999999,118.03906081160676,16.911259745261017
Allan Hills A79052,22.6,"(-76.689440, 159.363330)",4520000.0,116.11336590822924,16.63536864211916
Allan Hills A79053,86.1,"(-76.698060, 159.341950)",17220000.0,172.0772074544214,24.653215058576112
Allan Hills A79054,36.0,"(-76.695280, 159.356110)",7199999.999999999,133.15193685167287,19.076456337424673
Allan Hills A79055,15.3,"(-76.701950, 159.368610)",3060000.0,103.52772544986736,14.832244884708723
Allan Hills A80101,8725.0,"(-76.773890, 159.275000)",1745000000.0,669.2957038104919,95.88888132201703
Allan Hills A80102,471.2,"(-76.690280, 159.252500)",94240000.0,283.6799201689296,40.642349926423265
Allan Hills A80103,535.9,"(-76.773890, 159.276110)",107179999.99999999,294.6201563269241,42.20973934879106
Allan Hills A80104,882.0,"(-76.728330, 159.292780)",176400000.0,341.1153269872404,48.87102504973195
Allan Hills A80105,445.1,"(-76.774170, 159.275560)",89020000.0,278.9653742785579,39.96690478491813
Allan Hills A80106,432.2,"(-76.690280, 159.254440)",86440000.0,276.56283047650766,39.62269633386408
Allan Hills A80107,177.8,"(-76.771110, 159.287220)",35560000.0,212.98246655133062,30.513643435239477
Allan Hills A80108,124.5,"(-76.771390, 159.288330)",24900000.0,191.79100236311177,27.477577637991736
Allan Hills A80110,167.6,"(-76.773330, 159.281670)",33520000.0,209.3138231717949,29.98804300536923
Allan Hills A80111,42.4,"(-76.751950, 159.324720)",8480000.0,139.71634666856485,20.016928404251605
Allan Hills A80112,330.7,"(-76.773610, 159.275560)",66140000.0,255.62570281234397,36.623068907028895
Allan Hills A80113,312.6,"(-76.772780, 159.283050)",62520000.00000001,251.42889101868536,36.02179866769845
Allan Hills A80114,232.8,"(-76.772780, 159.284170)",46560000.0,230.551852366937,33.03078009364305
Allan Hills A80115,306.0,"(-76.773890, 159.277220)",61200000.0,249.85589139179555,35.79643762969435
Allan Hills A80116,191.2,"(-76.773610, 159.280560)",38239999.99999999,217.5827745829778,31.172721908894584
