name,mass,GeoLocation
Aachen,21.0,"(50.775000, 6.083330)"
Aarhus,720.0,"(56.183330, 10.233330)"
Abee,107000.0,"(54.216670, -113.000000)"
Acapulco,1914.0,"(16.883330, -99.900000)"
Achiras,780.0,"(-33.166670, -64.950000)"
Adhi Kot,4239.0,"(32.100000, 71.800000)"
Adzhi-Bogdo (stone),910.0,"(44.833330, 95.166670)"
Agen,30000.0,"(44.216670, 0.616670)"
Aguada,1620.0,"(-31.600000, -65.233330)"
Aguila Blanca,1440.0,"(-30.866670, -64.550000)"
Aioun el Atrouss,1000.0,"(16.398060, -9.570280)"
Aïr,24000.0,"(19.083330, 8.383330)"
Akaba,779.0,"(29.516670, 35.050000)"
Akbarpur,1800.0,"(29.716670, 77.950000)"
Akwanga,3000.0,"(8.916670, 8.433330)"
Akyumak,50000.0,"(39.916670, 42.816670)"
Al Rais,160.0,"(24.416670, 39.516670)"
Al Zarnkh,700.0,"(13.660330, 28.960000)"
Alais,6000.0,"(44.116670, 4.083330)"
Albareto,2000.0,"(44.650000, 11.016670)"
Alberta,625.0,"(2.000000, 22.666670)"
Alby sur Chéran,252.0,"(45.821330, 6.015330)"
Aldsworth,700.0,"(51.783330, -1.783330)"
Aleppo,3200.0,"(36.233330, 37.133330)"
Alessandria,908.0,"(44.883330, 8.750000)"
Alexandrovsky,9251.0,"(50.950000, 31.816670)"
Alfianello,228000.0,"(45.266670, 10.150000)"
Allegan,32000.0,"(42.533330, -85.883330)"
Allende,2000000.0,"(26.966670, -105.316670)"
Almahata Sitta,3950.0,"(20.745750, 32.412750)"
Alta'ameem,6000.0,"(35.273330, 44.215560)"
Ambapur Nagla,6400.0,"(27.666670, 78.250000)"
Andhara,2700.0,"(26.583330, 85.566670)"
Andover,3200.0,"(44.616670, -70.750000)"
Andreevka,600.0,"(48.700000, 37.500000)"
Andura,17900.0,"(20.883330, 76.866670)"
Northwest Africa 5815,256.8,"(0.000000, 0.000000)"
Angra dos Reis (stone),1500.0,"(-22.966670, -44.316670)"
Ankober,6500.0,"(9.533330, 39.716670)"
Anlong,2500.0,"(25.150000, 105.183330)"
Aomori,320.0,"(40.810560, 140.785560)"
Appley Bridge,15000.0,"(53.583330, -2.716670)"
Apt,3200.0,"(43.866670, 5.383330)"
Arbol Solo,810.0,"(-33.000000, -66.000000)"
Archie,5070.0,"(38.500000, -94.300000)"
Arroyo Aguiar,7450.0,"(-31.416670, -60.666670)"
Asco,41.0,"(42.450000, 9.033330)"
Ash Creek,9500.0,"(31.805000, -97.010000)"
Ashdon,1300.0,"(52.050000, 0.300000)"
Assisi,2000.0,"(43.033330, 12.550000)"
Atarra,1280.0,"(25.254170, 80.625000)"
Atemajac,94.2,"(20.066670, -103.666670)"
Athens,265.0,"(34.750000, -87.000000)"
Atoka,1384.2,"(34.316670, -96.150000)"
Aubres,800.0,"(44.383330, 5.166670)"
Aumale,50000.0,"(36.166670, 3.666670)"
Aumieres,2000.0,"(44.333330, 3.233330)"
Ausson,50000.0,"(43.083330, 0.583330)"
Avanhandava,9330.0,"(-21.460280, -49.950830)"
Avce,1230.0,"(46.000000, 13.500000)"
Avilez,146.0,"(25.000000, -103.500000)"
Awere,134.0,"(2.716670, 32.833330)"
Aztec,2830.0,"(36.800000, -108.000000)"
Bachmut,18000.0,"(48.600000, 38.000000)"
Bahjoi,10322.0,"(28.483330, 78.500000)"
Bald Mountain,3700.0,"(35.966670, -82.483330)"
Baldwyn,345.0,"(34.500000, -88.666670)"
Bali,1000.0,"(5.383330, 16.383330)"
Ban Rong Du,16700.0,"(16.666670, 101.183330)"
Bandong,11500.0,"(-6.916670, 107.600000)"
Bansur,15000.0,"(27.700000, 76.333330)"
Banswal,14.0,"(30.400000, 78.200000)"
Banten,629.0,"(-6.333330, 106.000000)"
Barbotan,6400.0,"(43.950000, -0.050000)"
Barea,3200.0,"(42.383330, -2.500000)"
Barnaul,23.2,"(52.733330, 84.083330)"
Barntrup,17.0,"(52.000000, 9.100000)"
Baroti,4500.0,"(31.616670, 76.800000)"
Barwell,44000.0,"(52.565280, -1.339720)"
Bassikounou,29560.0,"(15.783330, -5.900000)"
Baszkówka,15500.0,"(52.033330, 20.935830)"
Bath,21000.0,"(45.416670, -98.316670)"
Bath Furnace,86000.0,"(38.250000, -83.750000)"
Battle Mountain,2900.0,"(40.668130, -117.189130)"
Bawku,1557.0,"(11.083330, -0.183330)"
Baxter,611.0,"(36.750000, -93.500000)"
Beardsley,16000.0,"(39.800000, -101.200000)"
Beaver Creek,14000.0,"(51.166670, -117.333330)"
Beddgelert,794.0,"(53.016670, -4.100000)"
Bells,375.0,"(33.600000, -96.466670)"
Benares (a),3700.0,"(25.366670, 82.916670)"
Benguerir,25000.0,"(32.250000, -8.150000)"
Beni M'hira,19000.0,"(32.866670, 10.800000)"
Benld,1770.5,"(39.083330, -89.150000)"
Benoni,3880.0,"(-26.166670, 28.416670)"
Bensour,45000.0,"(30.000000, -7.000000)"
Benton,2840.0,"(45.950000, -67.550000)"
Berduc,270.0,"(-31.910000, -58.328330)"
Béréba,18000.0,"(11.650000, -3.650000)"
Berlanguillas,1440.0,"(41.683330, -3.800000)"
Berthoud,960.0,"(40.305830, -105.023250)"
Bethlehem,13.9,"(42.533330, -73.833330)"
Beuste,2000.0,"(43.216670, -0.233330)"
Beyrout,1100.0,"(33.883330, 35.500000)"
Bhagur,18.0,"(20.883330, 74.833330)"
Bhawad,678.0,"(26.508330, 73.115280)"
Bherai,100.0,"(20.833330, 71.466670)"
Bhola,1047.0,"(22.683330, 90.650000)"
Bholghati,2500.0,"(22.083330, 86.900000)"
Bialystok,4000.0,"(53.100000, 23.200000)"
Bielokrynitschie,1900.0,"(50.133330, 27.166670)"
Bilanga,25000.0,"(12.450000, -0.083330)"
Binningup,488.1,"(-33.156390, 115.676390)"
Birni N'konni,560.0,"(13.766670, 5.300000)"
Bishopville,6000.0,"(34.166670, -80.283330)"
Bishunpur,1039.0,"(25.383330, 82.600000)"
Bjelaja Zerkov,1850.0,"(49.783330, 30.166670)"
Bjurböle,330000.0,"(60.400000, 25.800000)"
Black Moshannan Park,705.0,"(40.916670, -78.083330)"
Blackwell,2381.0,"(36.833330, -97.333330)"
Blanket,5100.0,"(31.833330, -98.833330)"
Blansko,470.0,"(49.366670, 16.633330)"
Bloomington,67.8,"(40.480000, -89.004170)"
Bo Xian,7500.0,"(33.833330, 115.833330)"
Bocas,56.0,"(23.000000, -102.000000)"
Bogou,8800.0,"(12.500000, 0.700000)"
Boguslavka,256000.0,"(44.550000, 131.633330)"
Borgo San Donino,1676.0,"(44.866670, 10.050000)"
Bori,8600.0,"(21.950000, 78.033330)"
Boriskino,1342.0,"(54.233330, 52.483330)"
Borkut,7000.0,"(48.150000, 24.283330)"
Borodino,500.0,"(55.466670, 35.866670)"
Botschetschki,614.0,"(51.333330, 33.883330)"
Boumdeid (2003),190.0,"(17.710670, -11.371500)"
Boumdeid (2011),3599.0,"(17.174930, -11.341330)"
Bovedy,5460.0,"(54.566670, -6.333330)"
Bradford Woods,762.0,"(40.500000, -80.083330)"
Braunau,39000.0,"(50.600000, 16.300000)"
Breitscheid,1500.0,"(50.666940, 8.183610)"
Bremervörde,7250.0,"(53.400000, 9.100000)"
Brient,219.0,"(52.133330, 59.316670)"
Bruderheim,303000.0,"(53.900000, -112.883330)"
Bukhara,5300.0,"(39.779780, 64.600350)"
Bunburra Rockhole,324.0,"(-31.350000, 129.190000)"
Bununu,357.0,"(10.016670, 9.583330)"
Bur-Gheluai,120000.0,"(5.000000, 48.000000)"
Burnwell,1504.0,"(37.621940, -82.237220)"
Bursa,25000.0,"(40.200000, 29.233330)"
Buschhof,5000.0,"(46.450000, 25.783330)"
Bustee,1500.0,"(26.783330, 82.833330)"
Butsura,29000.0,"(27.083330, 84.083330)"
Buzzard Coulee,41000.0,"(52.996000, -109.848170)"
Cabezo de Mayo,25000.0,"(37.983330, -1.166670)"
Cabin Creek,48500.0,"(35.500000, -93.500000)"
Cacak,212.0,"(43.838890, 20.333330)"
Cali,478.0,"(3.405000, -76.510000)"
Calivo,2400.0,"(11.750000, 122.333330)"
Campos Sales,23680.0,"(-7.033330, -40.166670)"
Çanakkale,4000.0,"(39.800000, 26.600000)"
Cañellas,945.0,"(41.250000, 1.666670)"
Cangas de Onis,34000.0,"(43.383330, -5.150000)"
Canon City,1400.0,"(38.470280, -105.241390)"
Cape Girardeau,2300.0,"(37.266670, -89.583330)"
Capilla del Monte,750.0,"(-30.883330, -64.550000)"
Carancas,342.0,"(-16.664440, -69.043890)"
Caratash,8.0,"(38.500000, 27.000000)"
Castalia,7300.0,"(36.083330, -78.066670)"
Castine,94.0,"(44.383330, -68.750000)"
Castrovillari,15000.0,"(39.800000, 16.200000)"
Caswell County,1360.0,"(36.500000, -79.250000)"
Ceniceros,1025.0,"(26.466670, -105.233330)"
Centerville,45.6,"(43.200000, -96.916670)"
Cereseto,6460.0,"(45.083330, 8.300000)"
Chadong,3700.0,"(28.533330, 109.316670)"
Chail,0.5,"(25.366670, 81.666670)"
Chainpur,8200.0,"(25.850000, 83.483330)"
Chajari,18300.0,"(-30.783330, -58.050000)"
Chandakapur,8800.0,"(20.266670, 76.016670)"
Chandpur,1100.0,"(27.283330, 79.050000)"
Changde,1810.0,"(29.083330, 111.750000)"
Chantonnay,31500.0,"(46.683330, 1.050000)"
Charlotte,4300.0,"(36.166670, -87.333330)"
Charsonville,27000.0,"(47.933330, 1.566670)"
Charwallas,12000.0,"(29.483330, 75.500000)"
Chassigny,4000.0,"(47.716670, 5.366670)"
Château-Renard,30000.0,"(47.933330, 2.916670)"
Chaves,2945.0,"(41.933330, -7.466670)"
Chela,2936.0,"(-3.666670, 32.500000)"
Chelyabinsk,100000.0,"(54.816670, 61.116670)"
Chergach ,100000.0,"(23.696390, -5.014720)"
Chernyi Bor,6000.0,"(53.700000, 30.100000)"
Cherokee Springs,8400.0,"(35.033330, -81.883330)"
Chervettaz,705.0,"(46.550000, 6.816670)"
Chervony Kut,1700.0,"(50.833330, 34.000000)"
Chetrinahatti,72.0,"(14.500000, 76.500000)"
Chiang Khan,367.0,"(17.900000, 101.633330)"
Chicora,303.0,"(40.933330, -79.733330)"
Chisenga,3920.0,"(-10.059440, 33.395000)"
Chitenay,4000.0,"(47.470830, 0.976670)"
Cilimus,1600.0,"(-6.950000, 108.100000)"
Claxton,1455.0,"(32.102500, -81.872780)"
Colby (Wisconsin),104000.0,"(44.900000, -90.283330)"
Cold Bokkeveld,5200.0,"(-33.133330, 19.383330)"
Coleman,469.0,"(43.761110, -84.507780)"
Collescipoli,5000.0,"(42.533330, 12.616670)"
Conquista,20350.0,"(-19.850000, -47.550000)"
Cosina,1200.0,"(21.166670, -100.866670)"
Cranganore,1460.0,"(10.200000, 76.266670)"
Crescent,78.4,"(35.950000, -97.583330)"
Cronstad,3650.0,"(-27.700000, 27.300000)"
Cross Roads,167.0,"(35.633330, -78.133330)"
Crumlin,4255.0,"(54.616670, -6.216670)"
Cumberland Falls,17000.0,"(36.833330, -84.350000)"
Cynthiana,6000.0,"(38.400000, -84.250000)"
Dahmani,18000.0,"(35.616670, 8.833330)"
Dandapur,5650.0,"(26.916670, 83.966670)"
Daniel's Kuil,1064.0,"(-28.200000, 24.566670)"
Danville,2000.0,"(34.400000, -87.066670)"
Darmstadt,100.0,"(49.866670, 8.650000)"
Dashoguz,7000.0,"(41.984440, 59.685000)"
Daule,6580.0,"(-1.870890, -79.957560)"
De Cewsville,340.0,"(43.000000, -80.000000)"
Deal,28.0,"(40.250000, -74.000000)"
Delhi,0.8,"(28.566670, 77.250000)"
Demina,16400.0,"(51.466670, 84.766670)"
Denver,230.0,"(39.782500, -104.930560)"
Dergaon,12500.0,"(26.683330, 93.866670)"
Desuri,25400.0,"(25.733330, 73.616670)"
Devgaon,12000.0,"(19.000000, 81.000000)"
Devri-Khera,1140.0,"(24.225000, 76.525000)"
Dhajala,45000.0,"(22.377780, 71.427220)"
Dharwar,1800.0,"(14.883330, 75.600000)"
Dhurmsala,32000.0,"(32.233330, 76.466670)"
Didim,3396.0,"(37.351720, 27.329970)"
Diep River,1000.0,"(-33.750000, 18.566670)"
Distrito Quebracho,400.0,"(-31.883330, -60.466670)"
Djati-Pengilon,166000.0,"(-7.500000, 111.500000)"
Djermaia,3950.0,"(12.733330, 15.050000)"
Djoumine,10000.0,"(36.950000, 9.550000)"
Dokachi,3840.0,"(23.500000, 90.333330)"
Dolgovoli,1600.0,"(50.750000, 25.300000)"
Domanitch,438.0,"(40.000000, 29.000000)"
Dong Ujimqin Qi,128800.0,"(45.500000, 119.033330)"
Donga Kohrod,230.0,"(21.866670, 82.450000)"
Dongtai,5500.0,"(32.916670, 120.783330)"
Doroninsk,3891.0,"(51.200000, 112.300000)"
Dosso,1250.0,"(13.050000, 3.166670)"
Douar Mghila,1161.0,"(32.333330, -6.300000)"
Dowa,642.0,"(-13.666670, 33.916670)"
Drake Creek,5000.0,"(36.400000, -86.500000)"
Dresden (Ontario),47700.0,"(42.520000, -82.260000)"
Dubrovnik,1900.0,"(42.458330, 18.441670)"
Dunbogan,30.0,"(-31.666670, 152.833330)"
Dundrum,2270.0,"(52.550000, -8.033330)"
Durala,13200.0,"(30.300000, 76.633330)"
Duruma,577.0,"(-4.000000, 39.500000)"
Duwun,2117.0,"(33.433330, 127.266670)"
Dwaleni,3230.0,"(-27.200000, 31.316670)"
Dyalpur,300.0,"(26.250000, 82.000000)"
Dyarrl Island,188.0,"(-3.000000, 151.000000)"
Eagle,10000.0,"(40.781670, -96.471670)"
Ehole,2400.0,"(-17.300000, 15.833330)"
Eichstädt,3000.0,"(48.900000, 11.216670)"
Ekeby,3336.0,"(56.033330, 13.000000)"
