name,mass,GeoLocation,KE,crater_diameter,crater_depth
Queen Alexandra Range 93274,26.0,"(-84.000000, 168.000000)",5200000.0,65.64230446033535,9.404463686626364
Queen Alexandra Range 93275,35.3,"(-84.000000, 168.000000)",7060000.0,71.8192223538829,10.289420430645643
Queen Alexandra Range 93276,36.2,"(-84.000000, 168.000000)",7240000.000000001,72.35296750376847,10.365889209755078
Queen Alexandra Range 93277,19.0,"(-84.000000, 168.000000)",3800000.0,59.85791587170385,8.575743962686877
Queen Alexandra Range 93278,7.7,"(-84.000000, 168.000000)",1540000.0,45.89412347727684,6.575174671577816
Queen Alexandra Range 93279,26.2,"(-84.000000, 168.000000)",5239999.999999999,65.79040611921795,9.42568196475266
Queen Alexandra Range 93280,5.4,"(-84.000000, 168.000000)",1080000.0,41.346348629985556,5.92362253979446
Queen Alexandra Range 93281,12.8,"(-84.000000, 168.000000)",2560000.0,53.29305412651773,7.63520714884556
Queen Alexandra Range 93282,4.1,"(-84.000000, 168.000000)",819999.9999999999,38.12939283925142,5.462734638856696
Queen Alexandra Range 93283,11.1,"(-84.000000, 168.000000)",2220000.0,51.105735810506125,7.3218336948947815
Queen Alexandra Range 93284,108.0,"(-84.000000, 168.000000)",21600000.0,99.78610800005963,14.29618958126905
Queen Alexandra Range 93285,85.5,"(-84.000000, 168.000000)",17100000.0,93.16041013627547,13.34693687798884
Queen Alexandra Range 93286,88.6,"(-84.000000, 168.000000)",17720000.0,94.14134853554245,13.487474289503668
Queen Alexandra Range 93287,19.5,"(-84.000000, 168.000000)",3900000.0,60.31694498755334,8.641508299978224
Queen Alexandra Range 93288,15.9,"(-84.000000, 168.000000)",3180000.0,56.80297103755866,8.138067101803275
Queen Alexandra Range 93289,29.0,"(-84.000000, 168.000000)",5800000.0,67.78465791726266,9.71139510006822
Queen Alexandra Range 93290,18.1,"(-84.000000, 168.000000)",3620000.0000000005,59.009702667749345,8.454221868959541
Queen Alexandra Range 93291,18.1,"(-84.000000, 168.000000)",3620000.0000000005,59.009702667749345,8.454221868959541
Queen Alexandra Range 93292,4.5,"(-84.000000, 168.000000)",899999.9999999999,39.18771652461475,5.614358911488838
Queen Alexandra Range 93293,19.7,"(-84.000000, 168.000000)",3939999.9999999995,60.49823082863272,8.667480820646823
Queen Alexandra Range 93294,18.0,"(-84.000000, 168.000000)",3599999.9999999995,58.9136324907272,8.440458054623644
Queen Alexandra Range 93295,16.4,"(-84.000000, 168.000000)",3279999.9999999995,57.3225805442183,8.21251069083905
Queen Alexandra Range 93296,8.2,"(-84.000000, 168.000000)",1639999.9999999998,46.75120524788778,6.697967350086697
Queen Alexandra Range 93297,1.7,"(-84.000000, 168.000000)",340000.0,29.43168896926809,4.216629084294483
Queen Alexandra Range 93298,5.9,"(-84.000000, 168.000000)",1180000.0000000002,42.43729894939113,6.079921175972942
Queen Alexandra Range 93299,20.7,"(-84.000000, 168.000000)",4140000.0,61.385675051609425,8.794623477162391
Queen Alexandra Range 93300,35.6,"(-84.595680, 162.217170)",7120000.0,71.99819386038807,10.31506138045242
Queen Alexandra Range 93301,13.0,"(-84.579350, 162.614260)",2600000.0,53.536613663130176,7.670101518207431
Queen Alexandra Range 93302,37.7,"(-84.601210, 162.186720)",7540000.000000001,73.22209466538658,10.490407611381839
Queen Alexandra Range 93303,35.1,"(-84.601500, 162.186020)",7020000.0,71.6993106939381,10.272240886739846
Queen Alexandra Range 93304,41.1,"(-84.576560, 162.083570)",8220000.000000001,75.10537818607882,10.760222506327738
Queen Alexandra Range 93305,97.6,"(-84.577740, 162.044240)",19520000.0,96.85841297879897,13.876743589247248
Queen Alexandra Range 93306,7.8,"(-84.602180, 162.181990)",1560000.0,46.06861757369767,6.600174150295264
Queen Alexandra Range 93307,62.4,"(-84.576310, 162.055620)",12480000.0,84.9188189398203,12.166177826881539
Queen Alexandra Range 93308,19.4,"(-84.579390, 162.615320)",3879999.9999999995,60.22580952369481,8.62845147378256
Queen Alexandra Range 93309,8.4,"(-84.603840, 162.163120)",1680000.0000000002,47.08371210458643,6.745605053928528
Queen Alexandra Range 93310,6.6,"(-84.573460, 162.499880)",1320000.0,43.8599395664737,6.283740528941532
Queen Alexandra Range 93311,12.4,"(-84.581660, 162.540070)",2480000.0,52.79775727352522,7.5642467932278965
Queen Alexandra Range 93312,5.0,"(-84.603700, 162.172210)",1000000.0,40.42101695599913,5.791051811243196
Queen Alexandra Range 93313,3.8,"(-84.581790, 162.538480)",760000.0,37.28674848621809,5.342010385130484
Queen Alexandra Range 93314,5.4,"(-84.605600, 162.127630)",1080000.0,41.346348629985556,5.92362253979446
Queen Alexandra Range 93315,2.7,"(-84.573380, 162.499580)",540000.0,33.72129469223878,4.831193755405304
Queen Alexandra Range 93316,1.5,"(-84.590430, 162.249040)",300000.0,28.36799206540775,4.06423499959296
Queen Alexandra Range 93317,5.9,"(-84.579090, 162.038580)",1180000.0000000002,42.43729894939113,6.079921175972942
Queen Alexandra Range 93318,13.5,"(-84.577370, 162.022220)",2700000.0,54.134149603284264,7.75570949764741
Queen Alexandra Range 93319,6.0,"(-84.573350, 162.500190)",1200000.0,42.64758468362242,6.110048463057884
Queen Alexandra Range 93320,6.0,"(-84.599880, 162.187380)",1200000.0,42.64758468362242,6.110048463057884
Queen Alexandra Range 93321,1.7,"(-84.612900, 162.076860)",340000.0,29.43168896926809,4.216629084294483
Queen Alexandra Range 93322,13.7,"(-84.573460, 162.499940)",2739999.9999999995,54.368791075485554,7.789326190766814
Queen Alexandra Range 93323,13.7,"(-84.579250, 162.614460)",2739999.9999999995,54.368791075485554,7.789326190766814
Queen Alexandra Range 93324,1.2,"(-84.606160, 162.120380)",239999.99999999997,26.56607301616115,3.806077057025302
Queen Alexandra Range 93325,1.4,"(-84.605550, 162.127220)",280000.0,27.798183202286545,3.9825994323227816
Queen Alexandra Range 93326,2.7,"(-84.591400, 162.240870)",540000.0,33.72129469223878,4.831193755405304
Queen Alexandra Range 93327,1.7,"(-84.606380, 162.113110)",340000.0,29.43168896926809,4.216629084294483
Queen Alexandra Range 93328,1.7,"(-84.000000, 168.000000)",340000.0,29.43168896926809,4.216629084294483
Queen Alexandra Range 93329,1.8,"(-84.599210, 162.195880)",360000.0,29.930626070857635,4.288110972268796
Queen Alexandra Range 93330,56.8,"(-84.614410, 161.944650)",11360000.0,82.60265432793078,11.834344778608132
Queen Alexandra Range 93331,56.8,"(-84.592220, 162.228240)",11360000.0,82.60265432793078,11.834344778608132
Queen Alexandra Range 93332,0.7,"(-84.603570, 162.167230)",140000.0,22.671668931687087,3.248132266777781
Queen Alexandra Range 93333,6.4,"(-84.579260, 162.614520)",1280000.0,43.46480022534373,6.227129573318246
