name,mass,GeoLocation,KE,crater_diameter,crater_depth
Yamato 792692,39.16,"(-71.500000, 35.666670)",7831999.999999999,102.28608389595765,14.654356966215458
Yamato 792693,30.77,"(-71.500000, 35.666670)",6154000.0,95.2839637369581,13.651174867322258
Yamato 792694,12.36,"(-71.500000, 35.666670)",2472000.0,72.86586934937759,10.439371803358252
Yamato 792695,4.87,"(-71.500000, 35.666670)",974000.0,55.40689155585755,7.938053118485006
Yamato 792696,1.83,"(-71.500000, 35.666670)",366000.0,41.547833638745914,5.95248896159157
Yamato 792698,10.79,"(-71.500000, 35.666670)",2158000.0,70.01210337888641,10.030517503372009
Yamato 792699,12.95,"(-71.500000, 35.666670)",2590000.0,73.87203405213779,10.58352334538084
Yamato 792700,5.61,"(-71.500000, 35.666670)",1122000.0,57.76057341309995,8.275261200045925
Yamato 792701,4.92,"(-71.500000, 35.666670)",984000.0,55.57359032484289,7.961935773617493
Yamato 792702,6.22,"(-71.500000, 35.666670)",1244000.0,59.540882950222475,8.53032318378448
Yamato 792703,4.82,"(-71.500000, 35.666670)",964000.0000000001,55.23898023119591,7.913996742519291
Yamato 792704,5.17,"(-71.500000, 35.666670)",1034000.0,56.38960951791512,8.078845484998439
Yamato 792705,3.86,"(-71.500000, 35.666670)",772000.0,51.746007224812914,7.413564314575746
Yamato 792706,4.02,"(-71.500000, 35.666670)",803999.9999999999,52.36780860773228,7.502648763606519
Yamato 792707,3.55,"(-71.500000, 35.666670)",710000.0,50.48747802422862,7.233256931055935
Yamato 792708,3.22,"(-71.500000, 35.666670)",644000.0,49.0593658764903,7.028653680998641
Yamato 792709,3.61,"(-71.500000, 35.666670)",722000.0,50.73695351510809,7.268998869337474
Yamato 792710,2.71,"(-71.500000, 35.666670)",542000.0,46.633475842713175,6.681100454189071
Yamato 792711,2.61,"(-71.500000, 35.666670)",522000.0,46.12065768169731,6.607629849938265
