name,mass,GeoLocation,KE,crater_diameter,crater_depth
Yamato 791516,89.18,"(-71.500000, 35.666670)",17836000.0,106.26793932666912,15.22483076525994
Yamato 791517,17.12,"(-71.500000, 35.666670)",3424000.0,65.40366007563638,9.370273502896984
Yamato 791518,6.42,"(-71.500000, 35.666670)",1284000.0,49.014508104202946,7.022226982636851
Yamato 791519,26.89,"(-71.500000, 35.666670)",5378000.0,74.69151211213085,10.700928602867627
Yamato 791520,2.85,"(-71.500000, 35.666670)",570000.0,38.600992394698714,5.530299922103464
Yamato 791521,2.82,"(-71.500000, 35.666670)",564000.0,38.48104519625283,5.513115286655778
Yamato 791522,2.48,"(-71.500000, 35.666670)",496000.0,37.05414836635859,5.308686153162891
Yamato 791523,0.82,"(-71.500000, 35.666670)",164000.0,26.759700645338775,3.833817765129614
Yamato 791524,0.68,"(-71.500000, 35.666670)",136000.0,25.326167101357015,3.6284378006574105
Yamato 791525,0.71,"(-71.500000, 35.666670)",141999.99999999997,25.64978192851501,3.6748015582293316
Yamato 791526,6.47,"(-71.500000, 35.666670)",1294000.0,49.12646851330424,7.038267364070583
Yamato 791527,4.14,"(-71.500000, 35.666670)",827999.9999999999,43.0812600457175,6.172180410254714
Yamato 791528,1.4,"(-71.500000, 35.666670)",280000.0,31.318781152588382,4.486989639994898
Yamato 791529,0.77,"(-71.500000, 35.666670)",154000.0,26.269119675532405,3.763533046245594
Yamato 791531,77.92,"(-71.500000, 35.666670)",15584000.0,102.13216805395173,14.632305699751834
Yamato 791532,28.31,"(-71.500000, 35.666670)",5662000.0,75.83053366074058,10.864114324030995
Yamato 791535,15.52,"(-71.500000, 35.666670)",3104000.0,63.543312495018355,9.103744601904527
Yamato 791536,839.0,"(-71.500000, 35.666670)",167800000.0,205.45039920456946,29.43453668494795
Yamato 791537,66.18,"(-71.500000, 35.666670)",13236000.0,97.34291284453712,13.946157078474505
Yamato 791538,419.03,"(-71.500000, 35.666670)",83805999.99999999,167.50619969826738,23.998334386615344
Yamato 791539,1907.0,"(-71.500000, 35.666670)",381400000.0,261.56506323426925,37.47399118754593
Yamato 791540,9.95,"(-71.500000, 35.666670)",1989999.9999999998,55.75558345189277,7.988009625969681
Yamato 791541,5.79,"(-71.500000, 35.666670)",1158000.0,47.54801186162734,6.812124507209439
Yamato 791542,2.44,"(-71.500000, 35.666670)",488000.0,36.877370339571144,5.2833594595438305
Yamato 791543,0.99,"(-71.500000, 35.666670)",198000.0,28.284265647774284,4.052239655116273
Yamato 791544,1.58,"(-71.500000, 35.666670)",316000.0,32.4529100515696,4.649474399390683
Yamato 791545,195.17,"(-71.500000, 35.666670)",39034000.0,133.7947518359174,19.168551370136388
Yamato 791546,76.87,"(-71.500000, 35.666670)",15374000.000000002,101.72546775483532,14.574038424923122
Yamato 791547,2.92,"(-71.500000, 35.666670)",584000.0,38.877443008124764,5.569906541287315
Yamato 791548,2.1,"(-71.500000, 35.666670)",420000.00000000006,35.285257520104544,5.0552601062566005
Yamato 791549,1.9,"(-71.500000, 35.666670)",380000.0,34.26178857823214,4.908629414702422
Yamato 791550,1.17,"(-71.500000, 35.666670)",234000.0,29.708591264822605,4.256300415224972
Yamato 791555,1.06,"(-71.500000, 35.666670)",212000.0,28.858320459301538,4.134483532346443
Yamato 791556,129.25,"(-71.500000, 35.666670)",25850000.0,118.52236861171153,16.980502449229384
Yamato 791557,90.65,"(-71.500000, 35.666670)",18130000.0,106.78013589774713,15.298212315355096
Yamato 791558,101.64,"(-71.500000, 35.666670)",20328000.0,110.43489236401591,15.82182319027885
Yamato 791559,26.21,"(-71.500000, 35.666670)",5242000.0,74.13098105472004,10.620622251377004
Yamato 791560,61.67,"(-71.500000, 35.666670)",12334000.0,95.34311678979805,13.659649626731756
Yamato 791561,54.27,"(-71.500000, 35.666670)",10854000.000000002,91.82536013622801,13.155666486912557
Yamato 791562,205.32,"(-71.500000, 35.666670)",41064000.0,135.8046463896089,19.456505617013285
Yamato 791563,487.87,"(-71.500000, 35.666670)",97574000.0,175.16963963690822,25.096262669452194
Yamato 791564,84.31,"(-71.500000, 35.666670)",16862000.0,104.52727701035575,14.97544897284679
Yamato 791565,8.13,"(-71.500000, 35.666670)",1626000.0,52.53953518020979,7.527251743775648
Yamato 791566,497.17,"(-71.500000, 35.666670)",99434000.0,176.14515099227836,25.236022557422213
Yamato 791567,67.98,"(-71.500000, 35.666670)",13596000.0,98.11420653911172,14.05665904213932
Yamato 791568,40.07,"(-71.500000, 35.666670)",8014000.0,83.98810169048058,12.032835515914666
Yamato 791569,10.58,"(-71.500000, 35.666670)",2116000.0,56.771429734125,8.133548231766499
Yamato 791570,0.58,"(-71.500000, 35.666670)",116000.0,24.168670991488153,3.462605259856673
Yamato 791571,23.68,"(-71.500000, 35.666670)",4736000.0,71.95057254597698,10.308238754010974
Yamato 791572,6.31,"(-71.500000, 35.666670)",1262000.0,48.766010893318,6.986625200901605
Yamato 791573,134.33,"(-71.500000, 35.666670)",26866000.0,119.87380213585983,17.17412008053028
Yamato 791574,199.73,"(-71.500000, 35.666670)",39946000.0,134.70663016115037,19.29919465980726
Yamato 791575,3.19,"(-71.500000, 35.666670)",638000.0,39.90188720944176,5.716676956638626
Yamato 791576,4.4,"(-71.500000, 35.666670)",880000.0,43.8599395664737,6.283740528941532
Yamato 791577,481.41,"(-71.500000, 35.666670)",96282000.0,174.48427363329847,24.99807142302984
Yamato 791578,191.44,"(-71.500000, 35.666670)",38288000.0,133.03760245557558,19.060075838825952
Yamato 791579,108.06,"(-71.500000, 35.666670)",21612000.0,112.44223319396063,16.10941156940568
Yamato 791580,114.6,"(-71.500000, 35.666670)",22920000.0,114.40230975048998,16.390228474760157
Yamato 791581,9.61,"(-71.500000, 35.666670)",1921999.9999999998,55.18836718149344,7.90674549514293
Yamato 791582,3.26,"(-71.500000, 35.666670)",652000.0,40.15742833260696,5.753287907960407
Yamato 791583,6.69,"(-71.500000, 35.666670)",1338000.0000000002,49.61196378628628,7.107823463636637
Yamato 791584,2.52,"(-71.500000, 35.666670)",504000.0,37.22892498746849,5.333726108722228
Yamato 791585,79.19,"(-71.500000, 35.666670)",15838000.0,102.61894480665194,14.702045394783857
Yamato 791586,219.68,"(-71.500000, 35.666670)",43936000.0,138.5317079618322,19.84720718878192
Yamato 791587,99.82,"(-71.500000, 35.666670)",19964000.0,109.84960074909675,15.7379694349324
Yamato 791589,3.91,"(-71.500000, 35.666670)",782000.0,42.363104703121294,6.069291489819512
Yamato 791590,20.57,"(-71.500000, 35.666670)",4114000.0000000005,69.03205499584442,9.890107603000143
Yamato 791591,57.09,"(-71.500000, 35.666670)",11418000.0,93.20364680169583,13.35313132306842
Yamato 791592,1.33,"(-71.500000, 35.666670)",266000.0,30.84987185520074,4.419809785541918
